"rgn_id","sciname","popn_trend"
2,"Alopias vulpinus","Decreasing"
9,"Alopias vulpinus","Decreasing"
6,"Alopias vulpinus","Decreasing"
1,"Alopias vulpinus","Decreasing"
4,"Alopias vulpinus","Decreasing"
8,"Alopias vulpinus","Decreasing"
5,"Alopias vulpinus","Decreasing"
7,"Alopias vulpinus","Decreasing"
10,"Alopias vulpinus","Decreasing"
3,"Alopias vulpinus","Decreasing"
2,"Balaenoptera acutorostrata","Stable"
9,"Balaenoptera acutorostrata","Stable"
6,"Balaenoptera acutorostrata","Stable"
1,"Balaenoptera acutorostrata","Stable"
4,"Balaenoptera acutorostrata","Stable"
8,"Balaenoptera acutorostrata","Stable"
5,"Balaenoptera acutorostrata","Stable"
7,"Balaenoptera acutorostrata","Stable"
10,"Balaenoptera acutorostrata","Stable"
3,"Balaenoptera acutorostrata","Stable"
2,"Balaenoptera borealis","Unknown"
9,"Balaenoptera borealis","Unknown"
6,"Balaenoptera borealis","Unknown"
1,"Balaenoptera borealis","Unknown"
4,"Balaenoptera borealis","Unknown"
8,"Balaenoptera borealis","Unknown"
5,"Balaenoptera borealis","Unknown"
7,"Balaenoptera borealis","Unknown"
10,"Balaenoptera borealis","Unknown"
3,"Balaenoptera borealis","Unknown"
2,"Balaenoptera musculus","Increasing"
9,"Balaenoptera musculus","Increasing"
6,"Balaenoptera musculus","Increasing"
1,"Balaenoptera musculus","Increasing"
4,"Balaenoptera musculus","Increasing"
8,"Balaenoptera musculus","Increasing"
5,"Balaenoptera musculus","Increasing"
7,"Balaenoptera musculus","Increasing"
10,"Balaenoptera musculus","Increasing"
3,"Balaenoptera musculus","Increasing"
2,"Balaenoptera physalus","Unknown"
9,"Balaenoptera physalus","Unknown"
6,"Balaenoptera physalus","Unknown"
1,"Balaenoptera physalus","Unknown"
4,"Balaenoptera physalus","Unknown"
8,"Balaenoptera physalus","Unknown"
5,"Balaenoptera physalus","Unknown"
7,"Balaenoptera physalus","Unknown"
10,"Balaenoptera physalus","Unknown"
3,"Balaenoptera physalus","Unknown"
2,"Carcharodon carcharias","Unknown"
9,"Carcharodon carcharias","Unknown"
6,"Carcharodon carcharias","Unknown"
1,"Carcharodon carcharias","Unknown"
4,"Carcharodon carcharias","Unknown"
8,"Carcharodon carcharias","Unknown"
5,"Carcharodon carcharias","Unknown"
7,"Carcharodon carcharias","Unknown"
10,"Carcharodon carcharias","Unknown"
3,"Carcharodon carcharias","Unknown"
2,"Caretta caretta",""
9,"Caretta caretta",""
6,"Caretta caretta",""
1,"Caretta caretta",""
4,"Caretta caretta",""
8,"Caretta caretta",""
5,"Caretta caretta",""
7,"Caretta caretta",""
10,"Caretta caretta",""
3,"Caretta caretta",""
2,"Cetorhinus maximus","Decreasing"
9,"Cetorhinus maximus","Decreasing"
6,"Cetorhinus maximus","Decreasing"
1,"Cetorhinus maximus","Decreasing"
4,"Cetorhinus maximus","Decreasing"
8,"Cetorhinus maximus","Decreasing"
5,"Cetorhinus maximus","Decreasing"
7,"Cetorhinus maximus","Decreasing"
10,"Cetorhinus maximus","Decreasing"
3,"Cetorhinus maximus","Decreasing"
2,"Eubalaena glacialis","Unknown"
9,"Eubalaena glacialis","Unknown"
6,"Eubalaena glacialis","Unknown"
1,"Eubalaena glacialis","Unknown"
4,"Eubalaena glacialis","Unknown"
8,"Eubalaena glacialis","Unknown"
5,"Eubalaena glacialis","Unknown"
7,"Eubalaena glacialis","Unknown"
10,"Eubalaena glacialis","Unknown"
3,"Eubalaena glacialis","Unknown"
2,"Isurus oxyrinchus","Decreasing"
9,"Isurus oxyrinchus","Decreasing"
6,"Isurus oxyrinchus","Decreasing"
1,"Isurus oxyrinchus","Decreasing"
4,"Isurus oxyrinchus","Decreasing"
8,"Isurus oxyrinchus","Decreasing"
5,"Isurus oxyrinchus","Decreasing"
7,"Isurus oxyrinchus","Decreasing"
10,"Isurus oxyrinchus","Decreasing"
3,"Isurus oxyrinchus","Decreasing"
2,"Isurus paucus","Decreasing"
9,"Isurus paucus","Decreasing"
6,"Isurus paucus","Decreasing"
1,"Isurus paucus","Decreasing"
4,"Isurus paucus","Decreasing"
8,"Isurus paucus","Decreasing"
5,"Isurus paucus","Decreasing"
7,"Isurus paucus","Decreasing"
10,"Isurus paucus","Decreasing"
3,"Isurus paucus","Decreasing"
2,"Lamna nasus","Decreasing"
9,"Lamna nasus","Decreasing"
6,"Lamna nasus","Decreasing"
1,"Lamna nasus","Decreasing"
4,"Lamna nasus","Decreasing"
8,"Lamna nasus","Decreasing"
5,"Lamna nasus","Decreasing"
7,"Lamna nasus","Decreasing"
10,"Lamna nasus","Decreasing"
3,"Lamna nasus","Decreasing"
2,"Megaptera novaeangliae","Increasing"
9,"Megaptera novaeangliae","Increasing"
6,"Megaptera novaeangliae","Increasing"
1,"Megaptera novaeangliae","Increasing"
4,"Megaptera novaeangliae","Increasing"
8,"Megaptera novaeangliae","Increasing"
5,"Megaptera novaeangliae","Increasing"
7,"Megaptera novaeangliae","Increasing"
10,"Megaptera novaeangliae","Increasing"
3,"Megaptera novaeangliae","Increasing"
2,"Prionace glauca","Unknown"
9,"Prionace glauca","Unknown"
6,"Prionace glauca","Unknown"
1,"Prionace glauca","Unknown"
4,"Prionace glauca","Unknown"
8,"Prionace glauca","Unknown"
5,"Prionace glauca","Unknown"
7,"Prionace glauca","Unknown"
10,"Prionace glauca","Unknown"
3,"Prionace glauca","Unknown"
