" ","score","status","future","trend","pressures","resilience"
"Index",67.46,,67.45,,,
"Food Provision",24.51,24.2,24.82,-0.07,,
". Fisheries",14.08,13,15.16,0,22.97,73.29
". Mariculture",66.93,69.77,64.09,-0.34,26.85,71.21
"Artisanal Fishing Opportunity",71.92,66.48,77.36,-0.01,21.24,73.62
"Natural Products",23.3,21.77,24.82,-0.07,19.4,76.23
"Carbon Storage",,50,,,,79.07
"Coastal Protection",,50,,,,79.07
"Tourism & Recreation",100,100,100,-0.05,48.53,83.62
"Coastal Livelihoods & Economies",86.77,100,73.53,-0.46,,
". Livelihoods",100,100,100,0.09,23.94,48.33
". Economies",73.53,100,47.06,-1,23.65,66.26
"Sense of Place",78.98,78.57,79.38,-0.09,,
". Iconic Species",57.95,57.14,58.77,-0.19,28.45,75.13
". Lasting Special Places",100,100,100,0,36.04,76.8
"Clean Waters",75.54,73.65,77.43,-0.01,66.38,83.62
"Biodiversity",78.66,75.1,82.22,-0.09,,
". Habitats",75.22,69.38,81.06,0.01,25.47,74.43
". Species",82.1,80.82,83.38,-0.18,28.48,75.31
