" ","score","status","future","trend","pressures","resilience"
"Index",71.36,,71.69,,,
"Food Provision",11.42,12.33,10.52,-0.09,,
". Fisheries",1.08,1,1.17,0,22.93,73.29
". Mariculture",53.48,58.4,48.56,-0.47,26.85,71.21
"Artisanal Fishing Opportunity",71.93,66.48,77.38,-0.01,21.19,73.62
"Natural Products",67.54,62,73.07,-0.01,19.39,76.23
"Carbon Storage",,50,,,,79.07
"Coastal Protection",,50,,,,79.07
"Tourism & Recreation",100,100,100,-0.05,48.53,83.62
"Coastal Livelihoods & Economies",86.77,100,73.53,-0.46,,
". Livelihoods",100,100,100,0.09,23.93,48.33
". Economies",73.53,100,47.06,-1,23.65,66.26
"Sense of Place",78.98,78.57,79.39,-0.09,,
". Iconic Species",57.97,57.14,58.79,-0.19,28.33,75.13
". Lasting Special Places",100,100,100,0,35.9,76.8
"Clean Waters",75.54,73.65,77.43,-0.01,66.38,83.62
"Biodiversity",78.66,75.1,82.23,-0.09,,
". Habitats",75.22,69.38,81.06,0.01,25.44,74.43
". Species",82.11,80.82,83.4,-0.18,28.41,75.31
