" ","score","status","future","trend","pressures","resilience"
"Index",68.81,,69.11,,,
"Food Provision",2.36,2.22,2.49,-0.02,,
". Fisheries",1.08,1,1.17,0,22.99,73.29
". Mariculture",7.53,7.2,7.87,-0.08,26.85,71.21
"Artisanal Fishing Opportunity",71.92,66.48,77.36,-0.01,21.27,73.62
"Natural Products",56.23,51.98,60.49,-0.04,19.4,76.23
"Carbon Storage",,50,,,,79.07
"Coastal Protection",,50,,,,79.07
"Tourism & Recreation",100,100,100,-0.05,48.53,83.62
"Coastal Livelihoods & Economies",86.77,100,73.53,-0.46,,
". Livelihoods",100,100,100,0.09,23.94,48.33
". Economies",73.53,100,47.06,-1,23.65,66.26
"Sense of Place",78.97,78.57,79.38,-0.09,,
". Iconic Species",57.95,57.14,58.75,-0.19,28.53,75.13
". Lasting Special Places",100,100,100,0,36.14,76.8
"Clean Waters",75.54,73.65,77.43,-0.01,66.38,83.62
"Biodiversity",78.65,75.1,82.21,-0.09,,
". Habitats",75.21,69.38,81.05,0.01,25.5,74.43
". Species",82.09,80.82,83.37,-0.18,28.53,75.31
