" ","score","status","future","trend","pressures","resilience"
"Index",66.58,,66.67,,,
"Food Provision",4.66,4.4,4.93,-0.02,,
". Fisheries",3.25,3,3.5,0,23.08,73.29
". Mariculture",10.41,10.08,10.75,-0.12,26.85,71.21
"Artisanal Fishing Opportunity",71.91,66.48,77.33,-0.01,21.39,73.62
"Natural Products",36.14,33.67,38.61,-0.06,19.42,76.23
"Carbon Storage",,50,,,,79.07
"Coastal Protection",,50,,,,79.07
"Tourism & Recreation",100,100,100,-0.05,48.53,83.62
"Coastal Livelihoods & Economies",86.76,100,73.53,-0.46,,
". Livelihoods",100,100,100,0.09,23.95,48.33
". Economies",73.53,100,47.06,-1,23.66,66.26
"Sense of Place",78.96,78.57,79.35,-0.09,,
". Iconic Species",57.92,57.14,58.7,-0.19,28.81,75.13
". Lasting Special Places",100,100,100,0,36.5,76.8
"Clean Waters",75.54,73.65,77.43,-0.01,66.38,83.62
"Biodiversity",78.64,75.1,82.18,-0.09,,
". Habitats",75.2,69.38,81.03,0.01,25.6,74.43
". Species",82.07,80.82,83.32,-0.18,28.7,75.31
