" ","score","status","future","trend","pressures","resilience"
"Index",66.72,,66.83,,,
"Food Provision",4.81,4.48,5.14,-0.01,,
". Fisheries",4.33,4,4.66,0,23.15,73.29
". Mariculture",6.77,6.45,7.09,-0.07,26.85,71.21
"Artisanal Fishing Opportunity",71.9,66.48,77.31,-0.01,21.48,73.62
"Natural Products",37.2,34.65,39.76,-0.06,19.43,76.23
"Carbon Storage",,50,,,,79.07
"Coastal Protection",,50,,,,79.07
"Tourism & Recreation",100,100,100,-0.05,48.53,83.62
"Coastal Livelihoods & Economies",86.76,100,73.53,-0.46,,
". Livelihoods",100,100,100,0.09,23.95,48.33
". Economies",73.53,100,47.05,-1,23.67,66.26
"Sense of Place",78.95,78.57,79.33,-0.09,,
". Iconic Species",57.9,57.14,58.66,-0.19,29.03,75.13
". Lasting Special Places",100,100,100,0,36.77,76.8
"Clean Waters",75.54,73.65,77.43,-0.01,66.38,83.62
"Biodiversity",78.62,75.1,82.15,-0.09,,
". Habitats",75.19,69.38,81.01,0.01,25.67,74.43
". Species",82.05,80.82,83.29,-0.18,28.83,75.31
