" ","score","status","future","trend","pressures","resilience"
"Index",68.35,,68.56,,,
"Food Provision",7.54,7.43,7.66,-0.05,,
". Fisheries",3.25,3,3.5,0,22.96,73.29
". Mariculture",25,25.44,24.56,-0.27,26.85,71.21
"Artisanal Fishing Opportunity",71.93,66.48,77.37,-0.01,21.23,73.62
"Natural Products",47.43,44.01,50.85,-0.05,19.4,76.23
"Carbon Storage",,50,,,,79.07
"Coastal Protection",,50,,,,79.07
"Tourism & Recreation",100,100,100,-0.05,48.53,83.62
"Coastal Livelihoods & Economies",86.77,100,73.53,-0.46,,
". Livelihoods",100,100,100,0.09,23.94,48.33
". Economies",73.53,100,47.06,-1,23.65,66.26
"Sense of Place",78.98,78.57,79.39,-0.09,,
". Iconic Species",57.96,57.14,58.77,-0.19,28.42,75.13
". Lasting Special Places",100,100,100,0,36.01,76.8
"Clean Waters",75.54,73.65,77.43,-0.01,66.38,83.62
"Biodiversity",78.66,75.1,82.22,-0.09,,
". Habitats",75.22,69.38,81.06,0.01,25.47,74.43
". Species",82.1,80.82,83.39,-0.18,28.46,75.31
