" ","score","status","future","trend","pressures","resilience"
"Index",69.32,,69.61,,,
"Food Provision",6.62,6.59,6.65,-0.06,,
". Fisheries",2.17,2,2.33,0,22.94,73.29
". Mariculture",24.73,25.25,24.21,-0.28,26.85,71.21
"Artisanal Fishing Opportunity",71.93,66.48,77.37,-0.01,21.21,73.62
"Natural Products",56.05,51.81,60.29,-0.04,19.39,76.23
"Carbon Storage",,50,,,,79.07
"Coastal Protection",,50,,,,79.07
"Tourism & Recreation",100,100,100,-0.05,48.53,83.62
"Coastal Livelihoods & Economies",86.77,100,73.53,-0.46,,
". Livelihoods",100,100,100,0.09,23.94,48.33
". Economies",73.53,100,47.06,-1,23.65,66.26
"Sense of Place",78.98,78.57,79.39,-0.09,,
". Iconic Species",57.96,57.14,58.78,-0.19,28.38,75.13
". Lasting Special Places",100,100,100,0,35.96,76.8
"Clean Waters",75.54,73.65,77.43,-0.01,66.38,83.62
"Biodiversity",78.66,75.1,82.23,-0.09,,
". Habitats",75.22,69.38,81.06,0.01,25.45,74.43
". Species",82.1,80.82,83.39,-0.18,28.44,75.31
