" ","score","status","future","trend","pressures","resilience"
"Index",65.71,,65.71,,,
"Food Provision",7.16,6.9,7.42,-0.04,,
". Fisheries",4.33,4,4.66,0,23.06,73.29
". Mariculture",18.66,18.67,18.65,-0.22,26.85,71.21
"Artisanal Fishing Opportunity",71.91,66.48,77.34,-0.01,21.37,73.62
"Natural Products",26.7,24.94,28.45,-0.07,19.42,76.23
"Carbon Storage",,50,,,,79.07
"Coastal Protection",,50,,,,79.07
"Tourism & Recreation",100,100,100,-0.05,48.53,83.62
"Coastal Livelihoods & Economies",86.76,100,73.53,-0.46,,
". Livelihoods",100,100,100,0.09,23.95,48.33
". Economies",73.53,100,47.06,-1,23.66,66.26
"Sense of Place",78.96,78.57,79.36,-0.09,,
". Iconic Species",57.93,57.14,58.71,-0.19,28.75,75.13
". Lasting Special Places",100,100,100,0,36.42,76.8
"Clean Waters",75.54,73.65,77.43,-0.01,66.38,83.62
"Biodiversity",78.64,75.1,82.18,-0.09,,
". Habitats",75.2,69.38,81.03,0.01,25.58,74.43
". Species",82.08,80.82,83.34,-0.18,28.66,75.31
